year,country_destination_id,import_val,tipo
1995,NCL,531006079.8,import
1995,NFK,78479541.84,import
1995,NIU,381389.79,import
1995,NRU,42625720.32,import
1995,NZL,12914183409,import
1995,PCN,4029137.36,import
1995,PLW,25986291.62,import
1995,PNG,2144061381,import
1995,PYF,19222261.03,import
1995,SLB,173198559.5,import
1995,TKL,7672467.8,import
1995,TON,15778287.03,import
1995,TUV,903223.44,import
1995,VUT,26621867.91,import
1995,WLF,871624.31,import
1995,WSM,53869455.99,import
1995,XXA,3250415.51,import
1995,ARG,18737332144,import
1995,BOL,1203913328,import
1995,BRA,47862496469,import
1995,CHL,15906371781,import
1995,COL,10160260719,import
1995,ECU,4940304220,import
1995,FLK,25265070.57,import
1995,GUY,447164413.3,import
1995,PER,5468160630,import
1995,PRY,1204943552,import
1995,SUR,624854302.6,import
1995,URY,2551927874,import
1995,VEN,13927104983,import
1995,XXE,22022409.51,import
1995,XXF,3830123929,import
1995,XXG,220080603.1,import
1995,XXA,3412085609,import
1995,XXI,13585197680,import
1996,AGO,3528848024,import
1996,BDI,100653147.5,import
1996,BEN,247676806.3,import
1996,BFA,309431081.5,import
1996,CAF,68164892.32,import
1996,CIV,4957137314,import
1996,CMR,2259735099,import
1996,COD,679672530.8,import
1996,COG,826784685.8,import
1996,COM,21445665.37,import
1996,CPV,16596355.92,import
1996,DJI,13488113.63,import
1996,DZA,10289609907,import
1996,EGY,6461528736,import
1996,ERI,27564415.05,import
1996,ESH,802442.37,import
1996,ETH,443933363,import
1996,GAB,3563472270,import
1996,GHA,2188336269,import
1996,GIN,774882963,import
1996,GMB,47075651.82,import
1996,GNB,68984467.41,import
1996,GNQ,138652145.1,import
1996,KEN,1703404966,import
1996,LBR,284383463.4,import
1996,LBY,9763781391,import
1996,MAR,7412756883,import
1996,MDG,650522681.5,import
1996,MLI,441401600.1,import
1996,MOZ,216625069,import
1996,MRT,621005023.2,import
1996,MUS,1633675792,import
1996,MWI,531032359.3,import
1996,NER,287548245.5,import
1996,NGA,15860829481,import
1996,RWA,67763833.96,import
1996,SDN,516003848.1,import
1996,SEN,855364695.2,import
1996,SHN,6502556.33,import
1996,SLE,92957223.26,import
1996,SOM,135464835.5,import
1996,STP,7668977.67,import
1996,SYC,158579241.4,import
1996,TCD,115218353.5,import
1996,TGO,491569121.2,import
1996,TUN,6056863701,import
1996,TZA,607440407.8,import
1996,UGA,877209371.9,import
1996,XXA,111155963.8,import
1996,ZAF,18360081215,import
1996,ZMB,894105207.7,import
1996,ZWE,1722588334,import
1996,ATF,981944.34,import
1996,XXA,236941.66,import
1996,AFG,89119675.8,import
1996,ARE,20076929887,import
1996,ARM,74586432.54,import
1996,AZE,640083153.9,import
1996,BGD,4649209060,import
1996,BHR,1682731769,import
1996,BRN,2137217326,import
1996,BTN,29149528.15,import
1996,CCK,4369374.27,import
1996,CHN,211385134727,import
1996,CXR,14788696.62,import
1996,CYP,1518129662,import
1996,GEO,268695688.6,import
1996,HKG,48867409553,import
1996,IDN,56228094805,import
1996,IND,34231295297,import
1996,IOT,10125491.6,import
1996,IRN,15528006958,import
1996,IRQ,34262320.33,import
1996,ISR,11305356976,import
1996,JOR,740112958.3,import
1996,JPN,395380704659,import
1996,KAZ,4284550746,import
1996,KGZ,459806619,import
1996,KHM,263477100,import
1996,KOR,126637854658,import
1996,KWT,10129563042,import
1996,LAO,268356669.7,import
1996,LBN,397533808.9,import
1996,LKA,3383314873,import
1996,MAC,2206210416,import
1996,MDV,82711529.7,import
1996,MMR,1039141169,import
1996,MNG,468450602,import
1996,MYS,70032044590,import
1996,NPL,394660584.6,import
1996,OMN,6060392533,import
1996,PAK,7504964271,import
1996,PHL,24053397648,import
1996,PRK,858540894.1,import
1996,QAT,3687201362,import
1996,SAU,71284278906,import
1996,SGP,77144260534,import
1996,SYR,3149623911,import
1996,THA,55136031464,import
1996,TJK,306838423.8,import
1996,TKM,468591469.6,import
1996,TLS,559387.64,import
1996,TUR,24059027507,import
1996,UZB,2422351333,import
